s_id,name,geom,status,func,url,address,end_year
construction-2071,Стартовые площадки,POINT (37.496042071575 55.774099416929),designed,renov-2023,https://stroi.mos.ru/construction/2071,"ул. Мневники, вл. 10, корп. 1",2021
construction-2083,Стартовые площадки,POINT (37.194033673611 55.412782392563),designed,renov-2023,https://stroi.mos.ru/construction/2083,"поселок Шишкин лес, вблизи д. 9",2021
road-29,Ленинградское шоссе,POINT (37.442311 55.883626),operation,road,https://stroi.mos.ru/road/trunk/29,,
road-31,Каширское шоссе,POINT (37.683634 55.641061),operation,road,https://stroi.mos.ru/road/trunk/31,,
construction-2184,Стартовые площадки,POINT (37.762575 55.681935),designed,renov-2023,https://stroi.mos.ru/construction/2184,"19 район, кв. Г, Ставропольская ул., вл. 23-1",2020
construction-2189,Стартовые площадки,POINT (37.706613 55.684183),designed,renov-2023,https://stroi.mos.ru/construction/2189,"Коломенская ул., напротив вл. 3",2021
construction-2172,Стартовые площадки,POINT (37.696661017197 55.87753228118),designed,renov-2023,https://stroi.mos.ru/construction/2172,"Норильская ул., д. 6  (напротив)",2021
construction-2191,Стартовые площадки,POINT (37.617678 55.645944),designed,renov-2023,https://stroi.mos.ru/construction/2191,"Варшавское шоссе, вл. 98-100",2021
construction-2196,Стартовые площадки,POINT (37.43864 55.838055),designed,renov-2023,https://stroi.mos.ru/construction/2196,"Южное Тушино, мкр. 11, корп. 1",2021
construction-2153,ТПУ «Терехово»,POINT (37.457061 55.753286),designed,tpu,https://stroi.mos.ru/construction/2153,станция метро «Терехово»,2024
construction-2115,ТПУ «Коммунарка»,POINT (37.475495 55.570395),designed,tpu,https://stroi.mos.ru/construction/2115,рядом с перспективной станций метро «Коммунарка»,2020
construction-2177,Стартовые площадки,POINT (37.53165961012 55.943266826615),designed,renov-2023,https://stroi.mos.ru/construction/2177,"Дмитровское шоссе, вл. 167, корп. 8А",2021
construction-2160,ТПУ « Улица Академика Опарина-2»,POINT (37.50834458791 55.649617894332),designed,tpu,https://stroi.mos.ru/construction/2160,,2020
road-24,Щелковское шоссе,POINT (37.795834 55.810051),construction,road,https://stroi.mos.ru/road/trunk/24,Щелковское шоссе,
construction-2223,"Северное Медведково, ул. Полярная, д. 22",POINT (37.638008885914 55.879674219035),operation,renov-bld,https://stroi.mos.ru/construction/2223,,2017
construction-2216,"Бескудниковский район, мкр. 5, корп. 8",POINT (37.561333897562 55.859700049908),operation,renov-bld,https://stroi.mos.ru/construction/2216,,2017
road-43,Улица Ротерта,POINT (37.620393 55.75396),construction,road,https://stroi.mos.ru/road/regional/43,,
road-36,Развязка с Бесединским шоссе,POINT (37.782247632385 55.617799895271),construction,road,https://stroi.mos.ru/road/interchange/36,"Россия, Москва, Бесединское шоссе",
construction-2052,Стартовые площадки,POINT (37.570766583706 55.663691422042),designed,renov-2023,https://stroi.mos.ru/construction/2052,"район Черемушки, кв.32А, уч. 1, 2",2021
construction-2228,Жилой дом,POINT (37.516021600182 55.6789609943),construction,house,https://stroi.mos.ru/construction/2228,"Москва, ЮЗАО, район Ломоносовский, ул. Кравченко, вл. 16",
construction-2242,Кинотеатр «Баку»,POINT (37.52828 55.806322),designed,cinema,https://stroi.mos.ru/construction/2242,"ул. Усиевича, д. 12",2020
metro_station-12,"""Деловой центр""",POINT (37.542671 55.748843),operation,metro,https://stroi.mos.ru/metro/station/12,,
construction-2158,ТПУ « Ул. Генерала Тюленева»,POINT (37.485572 55.62605),designed,tpu,https://stroi.mos.ru/construction/2158,расположится на пересечении улиц Генерала Тюленева и Теплый стан,2019
construction-2273,Стартовые площадки,POINT (37.541365 55.867876),designed,renov-2023,https://stroi.mos.ru/construction/2273,"Бескудниковский, кв. 8, 9, к. 32",2021
construction-2127,ТПУ «Мичуринский проспект»,POINT (37.484445 55.68966),designed,tpu,https://stroi.mos.ru/construction/2127,на базе будущей станции метрополитена «Мичуринский проспект» Калининско-Солнцевской линии и Третьего пересадочного контура,2020
construction-2108,ТПУ «Боровское шоссе»,POINT (37.371163 55.648852),designed,tpu,https://stroi.mos.ru/construction/2108,Боровское шоссе на пересечении с Приречной ул.,
