geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Name,properties/Attributes/global_id,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/DescriptionLocation,properties/Attributes/Address,properties/Attributes/EventDate,properties/Attributes/TIME,properties/Attributes/PaymentInfo,type
37.34379371163909,55.64635295732454,Point,2249,1,25,,Дом культуры «Ново-Переделкино»,841556191,Западный административный округ,район Ново-Переделкино,ГБУК г. Москвы «ТКС «Ново-Переделкино»,"улица Лукинская, дом 1, корпус 1, отдельно стоящее одноэтажное здание во дворе многоэтажного дома",Ежедневно,с 10:00 до 21:00,Вход на мероприятия - свободный или по билетам,Feature
37.581659906745834,55.793695354536155,Point,2249,1,25,,Кружок «Занимательное КБ»,840230435,Северный административный округ,Савёловский район,"ГБУК г. Москвы «ЦБС САО», Библиотека № 40","улица Вятская, дом 3",Воскресенье,С 10:00 до 13:30,Платно,Feature
37.819244,55.708227,Point,2249,1,25,,"Театральная студия «Lab». Педагоги и система: ЛАБ-дайджест театр - это коллектив молодых дизайнеров, педагогов и артистов.",841846263,Юго-Восточный административный округ,район Выхино-Жулебино,"ГБУК г. Москвы «Объединение «ВЗ Москвы», Галерея «Выхино»","улица Ташкентская, дом 9","Январь-май, сентябрь-декабрь","Среда, суббота с 17:00 до 18:30","Разовое-750 руб., абонемент-3000 руб.",Feature
37.33065,55.658708,Point,2249,1,25,,Кружок «Мастерилка». Занятия по декоративно-прикладному творчеству в различных техниках для детей на основе литературных произведений.,861098393,Новомосковский административный округ,поселение Внуковское,"ГБУК г. Москвы «ЦБС «Новомосковская», Библиотека №266 имени К.И. Чуковского","поселение Внуковское, посёлок ДСК «Мичуринец», улица Серафимовича, дом 3А","Два раза в месяц, в среду",С 12:00 до 14:00,Бесплатно,Feature
37.682359,55.683386,Point,2249,1,25,,"Студии для детей и взрослых – театральная, студии танцев, вокальные и музыкальные коллективы, студии живописи, развивающие группы для малышей, спортивные и оздоровительные секции, курсы робототехники и многие другие.",840240976,Южный административный округ,район Нагатинский Затон,ГБУК г.Москвы «Дом культуры «Нагатино»,"улица Судостроительная, дом 31, корпус 1",ежедневно,с 9:00 до 22:00,платно/бесплатно,Feature
37.59773944047504,55.74361957331432,Point,2249,1,25,,Семейная интерактивная программа для детей 6-11 лет «Именины в старинной русской усадьбе»,840251108,Центральный административный округ,район Хамовники,ГБУК г. Москвы «Государственный музей А.С. Пушкина»,"улица Пречистенка, дом 12/2, Основное здание, вход со стороны Хрущевского переулка",Воскресенье,В 14:00,Платная форма посещения по экскурсионным путёвкам,Feature
37.52912232771613,55.64878342256437,Point,2249,1,25,,«Английский язык»,840238263,Юго-Западный административный округ,район Коньково,"ГБУК г. Москвы «ЦБС ЮЗАО», Библиотека № 180","улица Профсоюзная, дом 92",Сезон,С 16:00 до 18:10,Платно,Feature
37.613251,55.794796,Point,2249,1,25,,Центр искусств и творчества «Марьина Роща»,840241027,Северо-Восточный административный округ,район Марьина Роща,ГБУК г.Москвы «Центр искусств и творчества Марьина Роща»,"улица Октябрьская, дом 58","понедельник - пятница, суббота-воскресенье","с 10:00 до 21:00, с 10:00 до 20:00","платно, бесплатно",Feature
37.64416348710202,55.77654019318123,Point,2249,1,25,,Клуб «Времен связующая нить»,840231831,Центральный административный округ,Красносельский район,"ГБУК г. Москвы «ЦБС ЦАО», Библиотека №267 имени Н.К.Крупской","улица Большая Спасская, дом 31","январь-декабрь, кроме: июнь,июль,август",Последний четверг месяца с 18:00-20:00,Бесплатно,Feature
37.783280720237585,55.70836386425979,Point,2249,1,25,,"Литературно-творческий клуб по интересам «Живая книга». Пропаганда и продвижение интереса к русской литературе среди школьников и молодежи; - продвижение русской классики среди молодежи, не включенных в книжную культуру; путем визуализации литературных образов, т.е. чтение и декламация сцен из литературных произведений, и демонстрация их школьникам и подросткам; - социализация и адаптация подростков и молодежи с ограниченными возможностями здоровья; -	развитие умений публичной декламации произведений с элементами мастерства чтеца и декламатора.",840253000,Юго-Восточный административный округ,район Кузьминки,"ГБУК г. Москвы «ЦБС ЮВАО», Библиотека № 115","улица Федора Полетаева, дом 28",С января 2018 по май 2018,С 17:00 до 18:00 - 2 раза в месяц по четвергам,Бесплатно,Feature
37.819244,55.708227,Point,2249,1,25,,"Школа академического рисунка и живописи «Золотое сечение». Классическая система духовно-нравственного развития личности, академическая программа освоения старинного ремесла. Нулевой уровень подготовки студентов, главное – желание! Отличное хобби для людей с эмоциональными перегрузками.",841846261,Юго-Восточный административный округ,район Выхино-Жулебино,"ГБУК г. Москвы «Объединение «ВЗ Москвы», Галерея «Выхино»","улица Ташкентская, дом 9","Январь-май, сентябрь-декабрь","Четверг с 16:00, с 19:00",Разовое занятие- 650 руб. - 900 руб.,Feature
