"id";"tag";"geom";"data_source"
"215";"playground";"POINT (37.8505685 55.9306491)";"OpenStreetMap"
"216";"playground";"POINT (37.8504222 55.9319113)";"OpenStreetMap"
"217";"sports_centre";"POINT (37.8223284 55.7461976)";"OpenStreetMap"
"218";"sports_centre";"POINT (37.5488659 55.696389)";"OpenStreetMap"
"219";"playground";"POINT (37.4451844 55.8615503)";"OpenStreetMap"
"220";"playground";"POINT (37.5784382 55.504585)";"OpenStreetMap"
"221";"playground";"POINT (37.7694903 55.427404)";"OpenStreetMap"
"222";"playground";"POINT (37.7094149 55.7718689)";"OpenStreetMap"
"223";"playground";"POINT (37.7080281 55.7787717)";"OpenStreetMap"
"224";"playground";"POINT (37.7658146 55.7948569)";"OpenStreetMap"
"225";"sauna";"POINT (38.0645144 55.5534602)";"OpenStreetMap"
"226";"playground";"POINT (37.7683757 55.4290825)";"OpenStreetMap"
"227";"sauna";"POINT (37.7461584 55.6462385)";"OpenStreetMap"
"228";"sauna";"POINT (37.7413791 55.6433371)";"OpenStreetMap"
"229";"sports_centre";"POINT (37.7692635 55.4379526)";"OpenStreetMap"
"230";"playground";"POINT (37.4593235 55.7229667)";"OpenStreetMap"
"231";"playground";"POINT (37.7422117 56.0889864)";"OpenStreetMap"
"232";"sports_centre";"POINT (37.7699168 55.4262649)";"OpenStreetMap"
"233";"sauna";"POINT (37.4953671 55.8006477)";"OpenStreetMap"
"234";"sports_centre";"POINT (37.6808509 55.8693648)";"OpenStreetMap"
"235";"playground";"POINT (37.5848786 55.6121986)";"OpenStreetMap"
"236";"sports_centre";"POINT (38.4693661 55.8833041)";"OpenStreetMap"
"237";"playground";"POINT (37.7106901 55.7761706)";"OpenStreetMap"
"238";"playground";"POINT (37.7108292 55.7760036)";"OpenStreetMap"
"239";"playground";"POINT (37.7101753 55.7755263)";"OpenStreetMap"
"240";"fitness_centre";"POINT (37.9547913 55.8136921)";"OpenStreetMap"
"241";"playground";"POINT (37.4885172 55.6207106)";"OpenStreetMap"
"242";"playground";"POINT (37.7582173 55.7035025)";"OpenStreetMap"
"243";"playground";"POINT (37.7568923 55.7020667)";"OpenStreetMap"
"244";"playground";"POINT (37.7595262 55.7014198)";"OpenStreetMap"
"245";"playground";"POINT (37.6564721 55.833897)";"OpenStreetMap"
"246";"playground";"POINT (37.6572785 55.8345457)";"OpenStreetMap"
"247";"playground";"POINT (38.4400628 55.8038724)";"OpenStreetMap"
"248";"playground";"POINT (37.5721425 55.8043654)";"OpenStreetMap"
"249";"playground";"POINT (37.9677614 55.8233163)";"OpenStreetMap"
"250";"playground";"POINT (37.9426593 55.8088967)";"OpenStreetMap"
"251";"playground";"POINT (37.452696 55.896011)";"OpenStreetMap"
"252";"playground";"POINT (37.9608763 55.8263764)";"OpenStreetMap"
"253";"playground";"POINT (37.9691372 55.8282333)";"OpenStreetMap"
"254";"playground";"POINT (37.6438852 55.8425168)";"OpenStreetMap"
"255";"sports_centre";"POINT (37.5303005 55.6447147)";"OpenStreetMap"
"256";"swimming_pool";"POINT (37.5083389 55.6458218)";"OpenStreetMap"
"257";"sports_centre";"POINT (37.765888 55.7987322)";"OpenStreetMap"
"258";"playground";"POINT (37.6559001 55.8316218)";"OpenStreetMap"
"259";"fitness_centre";"POINT (38.0049477 55.75093)";"OpenStreetMap"
"260";"playground";"POINT (38.0102899 55.7479664)";"OpenStreetMap"
"261";"playground";"POINT (38.0160564 55.7483831)";"OpenStreetMap"
"262";"playground";"POINT (38.0134683 55.7485768)";"OpenStreetMap"
"263";"playground";"POINT (38.0114325 55.7490241)";"OpenStreetMap"
"264";"playground";"POINT (38.0157368 55.7491499)";"OpenStreetMap"
"265";"playground";"POINT (38.0177762 55.7368148)";"OpenStreetMap"
"266";"playground";"POINT (38.0177626 55.7370914)";"OpenStreetMap"
"267";"playground";"POINT (38.017393 55.7377846)";"OpenStreetMap"
"268";"playground";"POINT (38.015927 55.7389684)";"OpenStreetMap"
"269";"playground";"POINT (38.0175445 55.7389922)";"OpenStreetMap"
"270";"playground";"POINT (38.0169897 55.7394892)";"OpenStreetMap"
"271";"playground";"POINT (38.015144 55.7395074)";"OpenStreetMap"
"272";"playground";"POINT (37.4447221 55.8631373)";"OpenStreetMap"
"273";"garden";"POINT (37.6089483 55.7376923)";"OpenStreetMap"
"274";"playground";"POINT (37.6393904 55.7672287)";"OpenStreetMap"
