Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"ул. Гашека, д.2, стр.1",0233,False,POINT (37.587921 55.767711),12,12,0,9,0
"ул. Дмитрия Ульянова, д.32А",0395,False,POINT (37.5828562 55.6845728),12,12,0,5,0
"ул. Болотниковская, д.34",0325,False,POINT (37.5942492 55.659118),12,12,0,8,0
"Ленинский пр-т, д.69",0319,False,POINT (37.550726 55.69062),15,15,0,8,0
"ул. Большая Тульская, д.13",0272,False,POINT (37.622305 55.710801),12,12,0,8,0
"ул. Валовая, д.20",0150,False,POINT (37.629933 55.730521),12,12,0,10,0
"ул. Плющиха, д.39",0244,False,POINT (37.576753 55.740264),12,12,0,11,0
"Ломоносовский пр-т (дублёр), пересечение с ул. Менделеева",0356,False,POINT (37.522672 55.701742),12,12,0,2,0
ул. Льва Толстого (напротив д.21),0252,False,POINT (37.5862313 55.7344493),8,8,0,0,0
"ул. Миклухо-Маклая, д.44 (вход в Битцевский парк)",0383,False,POINT (37.543148 55.637955),12,12,0,1,0
ст. м. Чертановская (выход №5),0377,False,POINT (37.60489 55.640518),12,12,0,1,0
ул. Академика Хохлова (у входа в ГЗ МГУ),0352,False,POINT (37.530847 55.701597),36,36,0,33,0
"Шмитовский пр., д.16, стр.2",0228,False,POINT (37.5457088 55.7575043),12,12,0,7,0
"ул. Верхняя Масловка, д.10, стр.4",0532,False,POINT (37.56551 55.79306),15,15,0,12,0
"Звенигородское ш., д.7",0229,False,POINT (37.5525262 55.764259),12,12,0,10,0
"пл. Тверская Застава, д.7",0231,False,POINT (37.5830376 55.7770608),27,27,0,18,0
"ул. Шарикоподшипниковская, д.24 (ст. м. Дубровка, выход №3)",0600,False,POINT (37.6763299 55.717707),15,15,0,3,0
"ул. Мытная, д.74",0271,False,POINT (37.621316 55.7120063),24,24,0,19,0
"ул. Сергея Эйзенштейна, д.8",0450,False,POINT (37.6374584 55.8334316),12,12,0,1,0
"ул. Мосфильмовская, д.55",0276,False,POINT (37.49521 55.70393),15,15,0,7,0
"ул. Каланчёвская, д.10, стр.3",0463,False,POINT (37.6501702 55.7763965),12,12,0,5,0
"1-я Останкинская ул, д.55",0474,False,POINT (37.6341961 55.823283),12,12,0,8,0
"ул. Симоновский Вал, д.2",0602,False,POINT (37.6606868 55.7301414),15,15,0,8,0
"ул. Б.Серпуховская, д. 22/21, стр.3 (ст. м. Серпуховская)",0260,False,POINT (37.6250142 55.7266781),12,12,0,12,0
"ул. Новый Арбат, д.1",0050,False,POINT (37.599867 55.752609),12,12,0,10,0
пл. Сретенские ворота (напротив д.1),0034,False,POINT (37.631618 55.766613),15,15,0,3,0
"ул. Новый Арбат, д.21",0053,False,POINT (37.584725 55.752153),12,12,0,1,0
"ул. Мытная, д.15",0265,False,POINT (37.6178259 55.7204756),12,12,0,10,0
"ул. Павловская, д.7",0268,False,POINT (37.62786 55.72113),12,12,0,1,0
ул. Большая Якиманка (напротив д.18),0083,False,POINT (37.6167027 55.7396445),18,18,0,0,0
"Покровский б-р (напротив д.12, стр.1)",0020,False,POINT (37.648355 55.755462),8,8,0,1,0
Тургеневская пл. (ст. м. Тургеневская),0015,False,POINT (37.636329 55.765334),15,15,0,10,0
"Раушская наб., д.14",0057,False,POINT (37.6328433 55.748202),12,12,0,1,0
Никитский б-р (напротив д.23/14/9),0006,False,POINT (37.598667 55.757163),15,15,0,6,0
Страстной б-р (напротив д.16),0011,False,POINT (37.613347 55.768066),8,8,0,5,0
"Берсеньевская наб., д.20/2 (Театр эстрады)",0056,False,POINT (37.610828 55.745244),24,24,0,1,0
"ул. Большая Дмитровка, д.5/6, стр.5",0032,False,POINT (37.615807 55.759865),12,12,0,9,0
"Климентовский пер., д.23, стр.1 (ст. м. Третьяковская)",0075,False,POINT (37.625638 55.740815),12,12,0,10,0
"Смоленский б-р, д.22/14",0104,False,POINT (37.5852946 55.7414275),18,18,0,5,0
"ул. Усачева, д.2, стр.1",0217,False,POINT (37.576903 55.730695),24,24,0,3,0
"ул. Большая Полянка, д.50/1, стр.1",0074,False,POINT (37.620018 55.73218),12,12,0,4,0
"ул. Люсиновская, д.12",0263,False,POINT (37.6223722 55.7241978),12,12,0,8,0
"ул. Фадеева, д.4",0403,False,POINT (37.599413 55.774431),12,12,0,5,0
"ул. Красная Пресня, д.21",0225,False,POINT (37.5706888 55.7615452),15,15,0,9,0
"Лаврушинский пер. (напротив д.4, стр.1)",0070,True,POINT (37.6202 55.743048),12,12,0,11,0
"Благовещенский пер., д.1",0044,False,POINT (37.596239 55.766531),12,12,0,2,0
"Хамовнический Вал, д.40, стр.1",0212,False,POINT (37.550435 55.727595),34,34,0,6,0
