code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
239,2569,15,2320,150,POINT (37.57463 55.75175),12,"Смоленская наб., д.12",1552,67,21
240,4459,26,4047,153,POINT (37.575712 55.746086),20,"Смоленская наб., д.2",2215,55,24
241,3104,22,3323,152,POINT (37.572706 55.740347),12,"7-й Ростовский пер., д.11",1615,49,20
242,3420,20,3025,152,POINT (37.570504 55.739349),12,"Саввинская наб., д.3",1720,57,21
243,3622,22,3330,151,POINT (37.56828 55.736802),12,"Саввинская наб., д.9",1982,60,23
244,2479,17,2567,153,POINT (37.576753 55.740264),12,"ул. Плющиха, д.39",653,25,21
245,2219,29,2005,70,POINT (37.56924 55.742321),18,"пл. Европы, д.2 (у пешеходного моста)",1077,54,20
248,1071,11,897,83,POINT (37.557608 55.746254),12,"ул. Б. Дорогомиловская, д.7/2",494,55,27
250,1004,12,1062,92,POINT (37.539165 55.747509),12,Москва-Сити (башня Империя),494,47,13
251,1169,13,1129,84,POINT (37.540904 55.751911),12,"1-й Красногвардейский пр-д, д.13, стр.1",456,40,12
252,1179,17,1210,70,POINT (37.586429 55.734264),8,ул. Льва Толстого (напротив д.21),339,28,13
300,2002,14,1840,128,POINT (37.507555 55.703026),12,"Мичуринский пр-т, д.12, корп.1",658,36,38
301,2558,18,2713,153,POINT (37.545636 55.700864),12,"пр-т Вернадского, ост. Университетский пр-т",1583,58,25
302,2639,21,2706,126,POINT (37.5306 55.68977),12,"пр-т Вернадского, д.11/19",1107,41,22
303,3143,25,3179,125,POINT (37.50458 55.67654),12,"пр-т Вернадского, д.14",1294,41,35
307,1255,16,1473,94,POINT (37.577945 55.701175),12,"ул. Вавилова, д.24",524,36,12
308,1093,20,1201,59,POINT (37.579738 55.701417),12,"ул. Вавилова, д.17",413,34,10
309,1342,14,1304,94,POINT (37.571292 55.665069),12,ул. Болотниковская (парк им. 70-ти летия Победы),524,40,33
310,1866,11,1695,152,POINT (37.578142 55.707025),12,"Ленинский пр-т, д.34/1",946,56,26
311,2741,19,2821,152,POINT (37.560842 55.697692),12,"Ленинский пр-т, д.54",967,34,22
312,3167,22,3233,145,POINT (37.556189 55.694967),12,"Ленинский пр-т, д.60/2",1345,42,27
313,1650,11,1696,152,POINT (37.550158 55.691314),12,"Ленинский пр-т, д.66",805,47,34
314,2029,17,2177,126,POINT (37.529599 55.678088),12,"Ленинский пр-т, д.86",844,39,30
315,2965,18,2820,153,POINT (37.605469 55.724028),12,"Ленинский пр-т, д.9, стр.3",1538,55,24
316,4850,36,4717,132,POINT (37.600371 55.72112),12,"Ленинский пр-т, д.15А",2528,54,29
317,3726,23,3556,152,POINT (37.587744 55.712075),12,"Ленинский пр-т, д.33",1951,55,23
318,1512,14,1503,107,POINT (37.57299 55.70325),12,"Ленинский пр-т, д.45",611,41,15
319,1437,10,1529,151,POINT (37.550828 55.690314),15,"Ленинский пр-т, д.69",591,39,22
320,2428,17,2607,151,POINT (37.546697 55.688289),15,"Ленинский пр-т, д.73/8",1145,44,23
321,1993,16,2006,124,POINT (37.54062 55.68396),12,"Ленинский пр-т, д.79",598,30,27
322,1066,13,1063,84,POINT (37.520408 55.670425),12,"Ленинский пр-т, д.99",475,45,14
324,455,7,411,60,POINT (37.509229 55.663915),10,"ул. Лобачевского, д.2, стр.1",230,56,13
325,989,10,935,92,POINT (37.594161 55.659076),12,"ул. Болотниковская, д.34",316,34,28
326,1494,15,1404,94,POINT (37.580711 55.653507),12,"ул. Каховка, д.10/12, к.1",455,32,23
327,1325,14,1275,93,POINT (37.589172 55.651447),12,"ул. Каховка, 9, к.1",510,40,30
328,1306,13,1171,92,POINT (37.60453 55.641757),12,"Балаклавский пр-т, д.16",564,48,34
329,752,12,746,64,POINT (37.537874 55.675732),12,"ул. Гарибальди, д.6, к.1",237,32,13
330,2574,20,2564,131,POINT (37.570182 55.684347),12,"ул. Профсоюзная, д.7/12",1057,41,27
331,1499,13,1728,131,POINT (37.557307 55.673362),12,"ул. Профсоюзная, д.46, корп.1",715,41,21
332,4760,40,5253,131,POINT (37.552943 55.66904),24,"ул. Профсоюзная, д.58/32, корп.2",1743,33,19
333,2917,28,3133,113,POINT (37.539688 55.656261),12,"ул. Профсоюзная, д.61А",1176,38,21
334,2572,24,2978,126,POINT (37.52562 55.64201),12,"ул. Профсоюзная, д.104",1040,35,17
335,1395,17,1487,85,POINT (37.539333 55.656261),12,"ул. Профсоюзная, д.82, корп.1",561,38,10
336,671,8,697,84,POINT (37.53202 55.650684),12,"ул. Профсоюзная, д.88/20",236,34,17
337,953,10,951,93,POINT (37.534259 55.668342),12,"ул. Академика Пилюгина, д.18",365,38,25
338,1917,20,1904,94,POINT (37.526493 55.667076),12,ул. Новаторов (пересечение с ул. Воронцовские Пруды),736,39,33
339,1077,11,1026,93,POINT (37.514881 55.658798),12,"ул. Обручева, д. 16, к.1",298,29,25
340,4548,35,4525,131,POINT (37.608648 55.718027),12,"ул. Шаболовка, д.32",1800,40,27
