code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
112;1271;11;1367;122;POINT (37.58738 55.76328);12; ул. Садовая-Кудринская, д.11, стр.1;713;52;17;2638;11,20491803;21,62295082
114;1091;14;1350;99;POINT (37.590813 55.766245);12;ул. Большая Садовая, д.1;693;51;10;2441;13,63636364;24,65656566
116;2500;18;2688;153;POINT (37.594132 55.767816);12;ул. Большая Садовая, д.14, стр.1;1490;55;20;5188;17,56862745;33,90849673
118;2117;16;2376;153;POINT (37.599103 55.770646);12;ул. Садовая-Триумфальная, д.4/10;1285;54;18;4493;15,52941176;29,36601307
120;2833;18;2797;152;POINT (37.614186 55.773194);12;ул. Садовая-Самотечная, д.8;1093;39;22;5630;18,40131579;37,03947368
122;4107;31;3933;127;POINT (37.62121 55.77314);12;Цветной б-р., д.34, стр.1;1979;50;21;8040;30,96850394;63,30708661
124;1812;15;1684;112;POINT (37.621562 55.774063);12;ул. Садовая-Сухаревская, д.5;802;48;22;3496;15,03571429;31,21428571
125;709;10;785;81;POINT (37.6333 55.77293);12;пр-т Мира, д.2;470;60;14;1494;9,691358025;18,44444444
126;4223;29;4371;153;POINT (37.632814 55.772192);10;Большая Сухаревская пл., д.2 (ст.м.Сухаревская);1824;42;20;8594;28,56862745;56,16993464
128;1819;13;1978;152;POINT (37.643192 55.770203);12;ул. Садовая-Спасская (напротив д.26);858;43;18;3797;13,01315789;24,98026316
129;319;5;358;66;POINT (37.645046 55.770996);12;Орликов пер., д.1/11 (со стороны пр. Академика Сахарова);174;49;7;677;5,424242424;10,25757576
130;1994;18;2406;132;POINT (37.649155 55.768482);12;ул. Садовая-Черногрязская, д.2;921;38;16;4400;18,22727273;33,33333333
132;640;6;896;147;POINT (37.652142 55.767033);12;ул. Садовая-Черногрязская, д.10/25;506;56;16;1536;6,095238095;10,44897959
134;1960;14;2098;152;POINT (37.655228 55.765056);12;ул. Садовая-Черногрязская, д.16/18, стр.1;829;40;20;4058;13,80263158;26,69736842
136;2206;15;2285;152;POINT (37.656236 55.76337);12;ул. Земляной Вал, д.2;1159;51;17;4491;15,03289474;29,54605263
138;1308;10;1530;150;POINT (37.656947 55.760738);12;ул. Земляной Вал, д.14/16, стр.1;896;59;19;2838;10,2;18,92
140;5732;39;5942;153;POINT (37.657331 55.7593);12;ул. Земляной Вал, д.24/30, стр.1;2410;41;18;11674;38,83660131;76,30065359
