"id";"geom";"address";"is_locked";"station_type";"totalplaces";"rides_per_day"
"524";"POINT (37.5212331 55.8037654)";"Ленинградский пр-т, д.68";"False";"Велосипед";"15";
"362";"POINT (37.561994 55.678516)";"Нахимовский пр-т, д.46 (ст. м. Профсоюзная, выход №3)";"False";"Велосипед";"15";
"102";"POINT (37.5861519 55.7383154)";"Зубовская пл., д.3, стр.1";"False";"Велосипед";"24";
"312";"POINT (37.556333 55.694853)";"Ленинский пр-т, д.60/2";"False";"Велосипед";"12";
"498";"POINT (37.64387 55.82257)";"пр-т Мира, д.150";"False";"Велосипед";"15";
"158";"POINT (37.6102521 55.7301022)";"ул. Крымский Вал, д.3 (ст. м. Октябрьская)";"False";"Велосипед";"24";
"290";"POINT (37.61995 55.66388)";"Варшавское ш., д.58, стр.3";"False";"Велосипед";"12";
"494";"POINT (37.71148 55.80138)";"ул. Краснобогатырская, д.89";"False";"Велосипед";"12";
"469";"POINT (37.6159792 55.8189299)";"ул. Академика Королёва, д.15, к.2";"False";"Велосипед";"12";
"460";"POINT (37.5765806 55.7835199)";"ул. Правды, д.4/19";"False";"Велосипед";"12";
"533";"POINT (37.602618 55.798216)";"ул. Полковая, д.1, стр.2";"False";"Велосипед";"12";
"300";"POINT (37.5073382 55.7032223)";"Мичуринский пр-т, д.12, к.1";"False";"Велосипед";"12";
"499";"POINT (37.674249 55.7995391)";"5-й Лучевой просек, д.5А, стр.1 (парк Сокольники)";"False";"Велосипед";"28";
"608";"POINT (37.6663363 55.7110537)";"ул. Велозаводская, д.11/1";"False";"Велосипед";"15";
"284";"POINT (37.49611 55.67144)";"пр-т Вернадского, д.70А";"False";"Велосипед";"12";
"265";"POINT (37.6178259 55.7204756)";"ул. Мытная, д.15";"False";"Велосипед";"12";
"111";"POINT (37.5848176 55.7597006)";"ул. Садовая-Кудринская, д.1-3а";"False";"Велосипед";"12";
"342";"POINT (37.5300029 55.7233339)";"ул. Мосфильмовская, д.1, стр.4";"False";"Велосипед";"12";
"459";"POINT (37.6520953 55.7724956)";"ул. Каланчёвская, д.15А";"False";"Велосипед";"12";
"16";"POINT (37.6316201 55.7599141)";"ул. Мясницкая, д.10";"False";"Велосипед";"10";
"62";"POINT (37.5977164 55.7434021)";"ул. Пречистенка, д.12/2, стр.1";"False";"Велосипед";"18";
"488";"POINT (37.6759952 55.7865463)";"ул. Маленковская, д.25";"False";"Велосипед";"15";
